customer,st,gender,customer lifetime value,income,monthly premium auto,policy type,vehicle class,total claim amount
RB50392,Washington,,,0.0,1000.0,Personal Auto,Four-Door Car,2.704934
QZ44356,Arizona,F,6979.54,0.0,94.0,Personal Auto,Four-Door Car,1131.464935
AI49188,Nevada,F,12887.43,48767.0,108.0,Personal Auto,Two-Door Car,566.472247
WW63253,California,M,7645.86,0.0,106.0,Corporate Auto,SUV,529.881344
GA49547,Washington,M,5363.08,36357.0,68.0,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,F,8256.3,62902.0,69.0,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,F,5380.9,55350.0,67.0,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,M,7216.1,0.0,101.0,Corporate Auto,Four-Door Car,363.02968
DY87989,Oregon,M,24127.5,14072.0,71.0,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,F,7388.18,28812.0,93.0,Special Auto,Four-Door Car,425.527834
SX51350,California,M,4738.99,0.0,67.0,Personal Auto,Four-Door Car,482.4
VQ65197,California,,8197.2,0.0,110.0,Personal Auto,SUV,528.0
DP39365,California,,8798.8,77026.0,110.0,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,,8819.02,99845.0,110.0,Corporate Auto,SUV,528.0
IL66569,California,,5384.43,83689.0,70.0,Corporate Auto,Four-Door Car,307.139132
BW63560,Oregon,,7463.14,24599.0,64.0,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,,2566.87,25049.0,67.0,Personal Auto,Two-Door Car,454.245098
OE15005,Cali,,3945.24,28855.0,101.0,Personal Auto,SUV,647.442031
WC83389,Oregon,,5710.33,51148.0,72.0,Personal Auto,Four-Door Car,308.981664
FL50705,California,,8162.62,66140.0,101.0,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,,2872.05,57749.0,74.0,Personal Auto,Two-Door Car,355.2
QK46697,Washington,M,6177.11,61040.0,79.0,Personal Auto,Two-Door Car,20.382876
YH23384,Arizona,,24127.5,14072.0,71.0,Personal Auto,Four-Door Car,511.2
TZ98966,Nevada,,2450.19,0.0,73.0,Corporate Auto,Four-Door Car,554.376763
HM55802,California,,2392.11,17870.0,61.0,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,,5802.07,97541.0,72.0,Personal Auto,Four-Door Car,389.185006
US89481,California,,3946.37,0.0,111.0,Personal Auto,Four-Door Car,799.2
HS14476,Washington,M,9162.06,29723.0,80.0,Personal Auto,Four-Door Car,20.985105
GE62437,AZ,,12902.56,86584.0,111.0,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,,3235.36,75690.0,80.0,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,,2454.58,23158.0,63.0,Personal Auto,Four-Door Car,322.294043
UL64533,Nevada,,18975.46,65999.0,237.0,Corporate Auto,Luxury SUV,615.927769
PF41800,California,,4715.32,0.0,65.0,Personal Auto,Four-Door Car,308.15089
HD95276,Washington,F,4737.87,0.0,130.0,Personal Auto,SUV,23.820158
SK67821,Oregon,,4932.92,37260.0,62.0,Corporate Auto,Four-Door Car,15.437681
YV55495,Arizona,,5744.23,68987.0,71.0,Personal Auto,Four-Door Car,204.475147
KY38074,California,,13891.74,42305.0,117.0,Personal Auto,Four-Door Car,561.6
DM79012,Oregon,,7380.98,65706.0,91.0,Personal Auto,Four-Door Car,436.8
CM61827,Oregon,,3090.03,0.0,90.0,Personal Auto,Two-Door Car,648.0
WC35801,Arizona,,2521.63,53243.0,66.0,Personal Auto,Four-Door Car,157.397849
QG25316,Nevada,,2652.06,0.0,70.0,Corporate Auto,Two-Door Car,484.318536
MB98372,Oregon,,2771.04,50071.0,71.0,Corporate Auto,Two-Door Car,18.918935
IL19217,California,,3939.01,60021.0,99.0,Personal Auto,Four-Door Car,882.871945
SR38658,Arizona,,12231.88,43244.0,103.0,Personal Auto,Sports Car,494.4
YD87931,Washington,M,4951.66,46896.0,35354.0,Personal Auto,Four-Door Car,31.707317
HG65722,Oregon,,12819.1,10105.0,172.0,Personal Auto,SUV,0.517753
BU27331,Arizona,,4468.51,0.0,73.0,Personal Auto,Four-Door Car,579.165954
XM45289,Oregon,,5514.34,23218.0,71.0,Personal Auto,Two-Door Car,447.79344
KP34198,California,,3343.88,0.0,92.0,Corporate Auto,Four-Door Car,529.624084
SH90947,Arizona,,2294.48,0.0,62.0,Personal Auto,Four-Door Car,313.023175
WE95729,Oregon,,36707.43,24804.0,104.0,Personal Auto,SUV,593.830288
PY51963,California,,33473.35,33190.0,106.0,Corporate Auto,SUV,508.8
RB69909,Nevada,,7983.43,36014.0,69.0,Special Auto,Four-Door Car,173.956072
NW21079,Washington,F,4879.38,67163.0,61.0,Personal Auto,Two-Door Car,33.192803
FR46645,California,,4294.0,16701.0,113.0,Personal Auto,Four-Door Car,831.625979
SY17488,Arizona,,7164.4,46623.0,91.0,Corporate Auto,Four-Door Car,436.8
AP67935,California,,7619.52,64749.0,64.0,Special Auto,Four-Door Car,302.56519
